Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
stora,1,1,1600,56,5.34,https://stora.co/,1280,65.64,6835.00,0.08,157000000,"[68,68,52,68,84,84,100,100,100,84,100,84]",2025-01-01,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
stora home,2,2,720,26,2.95,https://stora.co/,95,4.87,280.00,1,2830000000,"[13,13,1,36,30,62,62,62,81,100,36,45]",2024-12-29,"Image pack, Sitelinks, Reviews, Video, Image, Related searches",informational,Organic
stora a,2,2,480,18,4.72,https://stora.co/,63,3.23,297.00,0.35,17310000000,"[0,0,66,81,81,100,66,81,100,81,100,81]",2025-01-03,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
stora home,3,3,720,26,2.95,https://stora.co/features/self-storage-management-software,59,3.02,174.00,1,2830000000,"[13,13,1,36,30,62,62,62,81,100,36,45]",2024-12-29,"Image pack, Sitelinks, Reviews, Video, Image, Related searches",informational,Organic
stora com,1,1,50,29,5.27,https://stora.co/,40,2.05,210.00,0.57,58000000,"[17,11,11,17,11,5,100,82,64,82,0,0]",2024-12-19,"Image pack, Sitelinks, Reviews, Related searches","navigational, transactional",Organic
stora a,3,3,480,18,4.72,https://stora.co/pricing,39,2,184.00,0.35,17310000000,"[0,0,66,81,81,100,66,81,100,81,100,81]",2025-01-03,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
stora login,1,1,40,11,1.36,https://app.stora.co/account/sign_in,32,1.64,43.00,0.08,87,"[22,22,22,22,22,22,100,22,77,55,77,55]",2025-01-08,"Image pack, Sitelinks, Reviews, Related searches","navigational, transactional",Organic
how much does it cost to build 100 storage units,2,2,1000,15,1.83,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,30,1.53,54.00,0.14,122000000,"[62,62,62,81,81,81,62,62,62,62,55,45]",2024-12-29,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
automated self storage,5,5,1000,15,2.55,https://stora.co/academy/the-pros-cons-of-a-fully-automated-self-storage-facility,24,1.23,61.00,0.36,122000000,"[1,1,1,1,1,1,3,3,4,100,23,3]",2024-12-27,"Local pack, Image pack, Reviews, Related searches",commercial,Organic
storage unit roi,4,4,390,18,0.00,https://stora.co/academy/are-self-storage-units-profitable,9,0.46,0.00,0.08,20500000,"[24,11,44,16,44,20,8,4,0,0,0,0]",2024-12-18,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
storage business,9,9,1000,26,2.49,https://stora.co/blog/how-to-start-a-self-storage-business,9,0.46,22.00,0.27,1350000000,"[2,81,3,3,3,23,3,8,5,3,3,3]",2025-01-03,"Local pack, Sitelinks, Reviews, People also ask, Related searches",informational,Organic
cost to build a storage facility,6,6,1000,11,1.47,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,9,0.46,13.00,0.69,108000000,"[67,76,76,67,76,100,76,67,67,76,55,76]",2025-01-02,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
cost of building storage units,7,7,480,13,1.47,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,9,0.46,13.00,0.69,186000000,"[36,30,45,45,45,24,8,36,30,36,24,30]",2025-01-02,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
self storage business,5,5,720,33,2.46,https://stora.co/blog/how-to-start-a-self-storage-business,9,0.46,22.00,0.25,498000000,"[72,88,88,48,72,72,59,72,88,59,48,100]",2024-12-29,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
cost to build storage units,6,6,1000,11,1.47,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,7,0.35,10.00,0.69,178000000,"[62,45,55,36,81,81,36,100,81,81,62,55]",2025-01-02,"Sitelinks, Reviews, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
self storage construction costs,6,6,390,11,1.47,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,7,0.35,10.00,0.69,88000000,"[21,17,48,88,100,14,21,26,48,9,17,26]",2024-12-22,"Image pack, Sitelinks, Reviews, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cost to build a self storage facility,6,6,320,10,1.81,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,7,0.35,12.00,0.57,69900000,"[81,81,100,100,100,100,81,43,54,66,35,35]",2025-01-06,"Sitelinks, Reviews, People also ask, Related searches, Discussions and forums",informational,Organic
how much does it cost to build storage units,9,9,880,13,1.24,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,7,0.35,8.00,0.33,173000000,"[72,59,100,88,72,88,72,59,72,88,100,100]",2025-01-02,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
cost to build self storage,7,7,390,10,1.47,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,7,0.35,10.00,0.69,241000000,"[48,39,72,32,59,39,48,48,39,48,14,26]",2024-12-25,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
10x10 storage unit cost to build,3,3,170,11,1.36,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,5,0.25,6.00,0.59,202000,"[66,66,80,80,80,80,80,100,80,80,66,66]",2024-12-18,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
storebird,2,2,40,45,0.00,https://stora.co/self-storage-logo-design/storebird,5,0.25,0.00,0,114000,"[55,55,55,22,100,100,22,22,22,22,22,22]",2024-12-23,"Sitelinks, Reviews, Image, People also ask, Related searches",commercial,Organic
how much does it cost to build a storage facility,9,9,590,15,1.24,https://stora.co/blog/how-much-does-it-cost-to-build-100-storage-units,4,0.2,4.00,0.33,150000000,"[36,55,67,45,30,45,30,36,36,45,55,67]",2024-12-30,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
